epoch,year,month,day,hour,minute,open,high,low,close
1693497300,2023,8,31,15,55,186.5718,186.5916,185.9478,186.0667
1693497000,2023,8,31,15,50,187.1561,187.166,186.3143,186.5569
1693496700,2023,8,31,15,45,187.3047,187.3047,187.0968,187.1647
1693496400,2023,8,31,15,40,187.1314,187.2997,187.0868,187.2948
1693496100,2023,8,31,15,35,187.1759,187.1759,186.9976,187.1264
1693495800,2023,8,31,15,30,187.1066,187.2651,187.0967,187.1806
1693495500,2023,8,31,15,25,187.0917,187.2452,187.0175,187.0968
1693495200,2023,8,31,15,20,187.0917,187.2254,187.062,187.0917
1693494900,2023,8,31,15,15,187.0323,187.1165,186.9333,187.0967
1693494600,2023,8,31,15,10,186.9184,187.0868,186.9085,187.0363
1693494300,2023,8,31,15,5,186.8095,186.9481,186.75,186.9234
1693494000,2023,8,31,15,0,186.6906,186.8689,186.6857,186.7996
1693493700,2023,8,31,14,55,186.656,186.7154,186.6213,186.7005
1693493400,2023,8,31,14,50,186.7178,186.7946,186.6064,186.656
1693493100,2023,8,31,14,45,186.6956,186.8788,186.6807,186.7114
1693492800,2023,8,31,14,40,186.7104,186.8689,186.6312,186.6996
1693492500,2023,8,31,14,35,186.8392,186.8639,186.6411,186.7104
1693492200,2023,8,31,14,30,186.7847,186.8491,186.7154,186.8392
1693491900,2023,8,31,14,25,186.8293,186.859,186.7302,186.7847
1693491600,2023,8,31,14,20,186.5965,186.8689,186.5718,186.8213
1693491300,2023,8,31,14,15,186.5223,186.6659,186.5024,186.5916
1693491000,2023,8,31,14,10,186.5024,186.5614,186.4826,186.5124
1693490700,2023,8,31,14,5,186.4529,186.5718,186.4332,186.5024
1693490400,2023,8,31,14,0,186.2103,186.4722,186.1756,186.4549
1693490100,2023,8,31,13,55,186.1558,186.2846,186.141,186.2152
1693489800,2023,8,31,13,50,186.1459,186.1657,186.0269,186.136
1693489500,2023,8,31,13,45,186.3093,186.3093,186.1162,186.145
1693489200,2023,8,31,13,40,186.3143,186.3341,186.24,186.3055
1693488900,2023,8,31,13,35,186.2895,186.3539,186.2202,186.3143
1693488600,2023,8,31,13,30,186.3341,186.3836,186.2449,186.2846
1693488300,2023,8,31,13,25,186.1954,186.3638,186.1459,186.3341
1693488000,2023,8,31,13,20,186.2103,186.2548,186.0965,186.1954
1693487700,2023,8,31,13,15,186.115,186.2648,186.1142,186.2053
1693487400,2023,8,31,13,10,186.0865,186.2449,186.0469,186.1112
1693487100,2023,8,31,13,5,186.0419,186.1261,185.9676,186.0865
1693486800,2023,8,31,13,0,186.0172,186.0568,185.9379,186.0419
1693486500,2023,8,31,12,55,185.9577,186.0964,185.9379,186.0172
1693486200,2023,8,31,12,50,185.7398,186.037,185.7398,185.9478
1693485900,2023,8,31,12,45,185.9825,186.0072,185.6804,185.7317
1693485600,2023,8,31,12,40,186.1955,186.2449,185.9478,185.9825
1693485300,2023,8,31,12,35,186.1211,186.2421,186.0766,186.2053
1693485000,2023,8,31,12,30,186.1756,186.2349,186.0571,186.1162
1693484700,2023,8,31,12,25,186.0766,186.2004,186.0271,186.1756
1693484400,2023,8,31,12,20,186.2846,186.4232,185.9775,186.0667
1693484100,2023,8,31,12,15,186.5818,186.5904,186.2155,186.2847
1693483800,2023,8,31,12,10,186.6114,186.6708,186.4727,186.5817
1693483500,2023,8,31,12,5,186.3886,186.6461,186.3836,186.6163
1693483200,2023,8,31,12,0,186.4232,186.443,186.2004,186.3836
1693482900,2023,8,31,11,55,186.4331,186.4529,186.2895,186.4183
1693482600,2023,8,31,11,50,186.3836,186.5223,186.344,186.4429
1693482300,2023,8,31,11,45,186.4381,186.5013,186.3341,186.3935
1693482000,2023,8,31,11,40,186.4727,186.5718,186.4133,186.443
1693481700,2023,8,31,11,35,186.3737,186.5767,186.344,186.4628
1693481400,2023,8,31,11,30,186.6758,186.8373,186.3646,186.3786
1693481100,2023,8,31,11,25,186.448,186.7253,186.3143,186.6807
1693480800,2023,8,31,11,20,186.6312,186.6316,186.3737,186.4529
