epoch,year,month,day,hour,minute,open,high,low,close,volume
1759506900,2025,10,3,15,55,669.53,669.58,668.77,669.18,3291349
1759506600,2025,10,3,15,50,669.935,669.935,669.38,669.55,1768983
1759506300,2025,10,3,15,45,669.83,670.035,669.78,669.93,865065
1759506000,2025,10,3,15,40,670.03,670.24,669.79,669.835,843901
1759505700,2025,10,3,15,35,669.81,670.05,669.7413,670.03,569874
1759505400,2025,10,3,15,30,669.61,669.92,669.515,669.8101,978729
1759505100,2025,10,3,15,25,669.62,669.82,669.53,669.62,596817
1759504800,2025,10,3,15,20,669.74,669.82,669.4,669.62,810409
1759504500,2025,10,3,15,15,669.87,669.99,669.625,669.74,747524
1759504200,2025,10,3,15,10,669.8,670.26,669.8,669.86,949569
1759503900,2025,10,3,15,5,669.79,669.99,669.62,669.81,541883
1759503600,2025,10,3,15,0,669.865,670.115,669.645,669.78,578324
1759503300,2025,10,3,14,55,669.62,669.96,669.56,669.87,554537
1759503000,2025,10,3,14,50,669.42,669.66,669.28,669.61,566835
1759502700,2025,10,3,14,45,669.92,669.93,669.365,669.42,816457
1759502400,2025,10,3,14,40,669.93,670.1799,669.72,669.92,398540
1759502100,2025,10,3,14,35,669.94,670.11,669.71,669.93,437312
1759501800,2025,10,3,14,30,670.537,670.685,669.6,669.97,961673
1759501500,2025,10,3,14,25,670.22,670.705,670.18,670.52,678725
1759501200,2025,10,3,14,20,670.0,670.3,669.72,670.22,881699
1759500900,2025,10,3,14,15,669.3,670.0,669.21,669.99,1057837
1759500600,2025,10,3,14,10,668.74,669.56,668.665,669.3,1285698
1759500300,2025,10,3,14,5,668.639,668.89,668.27,668.73,1181912
1759500000,2025,10,3,14,0,669.19,669.37,668.59,668.65,1499114
1759499700,2025,10,3,13,55,668.23,669.42,668.16,669.19,1794694
1759499400,2025,10,3,13,50,669.61,669.64,668.17,668.23,1903392
1759499100,2025,10,3,13,45,670.02,670.11,669.44,669.61,1141959
1759498800,2025,10,3,13,40,670.645,670.71,669.92,670.01,1124738
1759498500,2025,10,3,13,35,670.575,670.71,670.41,670.67,471882
1759498200,2025,10,3,13,30,670.33,670.95,670.11,670.56,1501239
1759497900,2025,10,3,13,25,670.56,670.755,670.32,670.33,993829
1759497600,2025,10,3,13,20,670.79,670.9188,670.47,670.55,620851
1759497300,2025,10,3,13,15,671.46,671.46,670.755,670.79,661684
1759497000,2025,10,3,13,10,671.1,671.76,670.89,671.46,932730
1759496700,2025,10,3,13,5,670.92,671.1383,670.43,671.12,1689886
1759496400,2025,10,3,13,0,672.2003,672.2003,670.535,670.925,1532304
1759496100,2025,10,3,12,55,672.22,672.34,672.1,672.24,642743
1759495800,2025,10,3,12,50,672.22,672.2687,672.0001,672.22,334509
1759495500,2025,10,3,12,45,672.28,672.4,672.18,672.22,494628
1759495200,2025,10,3,12,40,672.29,672.355,672.15,672.27,364484
1759494900,2025,10,3,12,35,672.53,672.545,672.29,672.295,319971
1759494600,2025,10,3,12,30,672.45,672.53,672.37,672.52,231881
1759494300,2025,10,3,12,25,672.4,672.53,672.22,672.46,347377
1759494000,2025,10,3,12,20,672.615,672.64,672.34,672.39,303954
1759493700,2025,10,3,12,15,672.53,672.67,672.455,672.62,315341
1759493400,2025,10,3,12,10,672.45,672.53,672.3,672.525,292059
1759493100,2025,10,3,12,5,672.59,672.675,672.42,672.445,423258
1759492800,2025,10,3,12,0,672.5,672.59,672.39,672.58,471003
1759492500,2025,10,3,11,55,672.23,672.615,672.135,672.5,1018734
1759492200,2025,10,3,11,50,671.98,672.33,671.975,672.23,675762
1759491900,2025,10,3,11,45,671.75,672.005,671.64,671.98,442963
1759491600,2025,10,3,11,40,671.66,671.76,671.35,671.75,619414
1759491300,2025,10,3,11,35,671.75,672.01,671.63,671.655,501960
1759491000,2025,10,3,11,30,671.77,671.88,671.67,671.75,343931
1759490700,2025,10,3,11,25,671.92,671.95,671.6,671.7713,599098
1759490400,2025,10,3,11,20,671.675,671.93,671.57,671.92,460689
1759490100,2025,10,3,11,15,671.775,671.79,671.56,671.675,338025
1759489800,2025,10,3,11,10,671.74,671.83,671.55,671.78,511237
1759489500,2025,10,3,11,5,671.79,671.97,671.65,671.74,441138
